,date,tweet
106,2022-10-30,"@cnnbrk What about the children of Syria, Iraq, Afghanistan, Somalia, etc. #Seoul #Halloween #ELONMUSK #SouthKorea #putin #Ukraine️"
107,2022-10-30,Είναι ασύλληπτη τραγωδία κατ' αρχήν. Αλλά το ότι συνέβη σε μία από τις πιο high-end πρωτεύουσες του κόσμου την κάνει ακόμη πιο απίστευτη! #SouthKorea #Seoul #Halloween
108,2022-10-30,"Update Jumlah Korban Tewas Tragedi Halloween Itaewon 151 Orang, Mayoritas Perempuan  https://t.co/a2HXrP25ny #이태원사고 #อิแทวอน #prayforitaewon #LISA #Seoul #오이_지젤생일_아인교 #Halloween #ITAEWONHALLOWEEN #OhmNanonFMKorea2022 #지구에서년지성아_환영해"
109,2022-10-30,Totally heartbreaking news 💔 #prayforitaewon  #Seoul #SouthKorea  https://t.co/WPdc9vUgQU
110,2022-10-30,"Come al pride di due mesi fa, tutta l'inadeguatezza della polizia di Seoul. La folla era prevedibile, ma non mi sembra che siano state messe limitazioni di accesso nei quartieri più a rischio. Era una tragedia che si poteva benissimo evitare. #Iteawon #Seoul"
111,2022-10-30,"साउथ कोरिया : सियोल में हैलोवीन पार्टी में भगदड़, 151 की मौत, 50 की हार्ट अटैक से गई जान  https://t.co/rdzF1OR9R0  #SouthKorea, #Seoul, #Itawan, #HalloweenCelebrationParty, #StampedeKills151, #दक्षिणकोरिया, #सियोल, #इटावन, #हैलोवीनसमारोहपार्टी, #भगदड़, #151लोगोंकीमौत"
112,2022-10-30,NOW RELEASE👇 ‘I Love ❤️ U‘ by Sodiq Akorede (Available all music stores and social media) *Spotify*   https://t.co/gyjfOVfrDN *Audiomack Users *  https://t.co/7kopfhfH7i #PaulSilva #dogecoin #Halloween #อิแทวอน #Seoul #오이_지젤생일_아인교
113,2022-10-30,#SouthKorea #Halloween  #Seoul   #Itaewon #이태원 #이태원사고 #압사사고 #SouthKorea #이태원사고 #오이_지젤생일_아인교 #ITAEWONHALLOWEEN #ItaewonTragedy  https://t.co/zl7Kag7Gwm
114,2022-10-30,서울 할로윈 축제 압사 사고 순간 상황 /#Seoul #HalloweenFestival #Accident 🧐 https://t.co/cGyvJDzLjq
115,2022-10-30,"Fakta Itaewon, Kawasan Favorit Anak Muda Seoul yang Jadi Lokasi Tragedi Halloween  Selengkapnya:  https://t.co/bkeZpCUyKe  #Itaewon #Seoul #SouthKorea #tribunkaltim  https://t.co/WhceBo77w1"
116,2022-10-30,"🔥 seoul stampede video,korea Halloween accident,south korea halloween crowd surge,seoul stampede,seoul stampede halloween,itaewon stampede video,itaewon accidente,itaewon accident video, iteawon Halloween #ITAEWONHALLOWEEN #Seoul #Halloween #SeoulTragedy  https://t.co/io2ZLtLscZ"
117,2022-10-30,"Ayrıca bkz. ""Kafir"" denilen, ""Cadılar Bayramı'nda satanist ayinler yapılıyor."" diyerek ötekileştirilen Kore gibi, 31 Aralık Cadılar Bayramı'nı, Arabistan'da büyük coşkuyla kutlamış. Her şeye düşmansınız, en çokta kendinize..  #Seoul #Halloween #SouthKorea  https://t.co/4t1ocA1hyG"
118,2022-10-30,"जब मातम में बदला जश्न... 3 दशक में कई बार हुए हादसे, 22 साल पहले मची भगदड़ में चली गई थी 1400 जानें   #SouthKorea #Seoul #Halloween   https://t.co/JhHYNwwgjC"
119,2022-10-30,We are shocked by the tragic news of a deadly stampede from #Seoul. Our deepest condolences to all those who lost loved ones and wishes of swift recovery for those injured. @MOFAkr_eng
120,2022-10-30,"#Seoul   #Korea So many young people died! 155 people died as a result of the stampede during the Halloween celebrations. 97 females, 54 males including 19 Foreigners  #ItaewonStampede #Halloween  #Itaewon #대한민국 #할로윈 #서울 #이태원  #France  #deuxSevres #UkraineRussianWar️  https://t.co/44uVZDdA3i"
121,2022-10-30,ثمة أشياء على المرء أن يتخطاها إجباراً  دون أن يخبر بها أحد🤍 There are some things that one has to skip without telling anyone🤍 #administration #bahrain #ELONMUSK #dogecoin #Halloween #Seoul #Strictly #D23Expo2022  https://t.co/cOk27WTIRI
122,2022-10-30,Nuit d'horreur à #Séoul : mouvement de foule qui a fait 146 morts = Pourquoi les autorités ont d'abord parlé d'arrêts cardiaques ?   https://t.co/sN7TdWNVMW #ACTUALITES #NouvelOrdreMondial  via @ https://twitter.com/plusdeliens
123,2022-10-30,#Itaewon #Seoul  https://t.co/FS8offkJRd
124,2022-10-30,SO TRUE #Seoul #BLM #BlackLivesMatter #LGBT #niggers  https://t.co/r6F7e4G4Fm
125,2022-10-30,"trma kasih utk agensi"" yg bisa mmbtlkan konten"" spesial halloween🙏💙 kita smua jga akan ttp brdoa utk kejadian ini😇  #prayforitaewon #이태원사고 #ITAEWONHALLOWEEN #ITAEWON #Seoul"
